229,205,167, roomclr
252,160,68, playerclr
#
0,301,1280,125,0,223,194,147, path across
577,0,125,720,0,223,194,147, path down
0,660,540,60,1,236,140,88, bottom 1
740,660,540,60,1,236,140,88, bottom 2
0,0,615,60,1,236,140,88, top 1
668,0,720,60,1,236,140,88, top 2
1220,0,60,720,1,236,140,88, far right
0,0,60,720,1,236,140,88, far left
0,0,300,720,0,223,194,147, left inside
979,0,330,1280,0,223,194,147, right inside
512,176,255,100,2,236,140,88, box
#
150,80,50,3,57,197,57
150,150,50,3,57,197,57
150,220,50,3,57,197,57
150,325,50,3,57,197,57
150,430,50,3,57,197,57
150,500,50,3,57,197,57
1080,150,50,5,57,197,57
1080,220,50,5,57,197,57
1080,325,50,5,57,197,57
1080,430,50,5,57,197,57
150,150,50,2,57,197,57
150,220,50,2,57,197,57
150,325,50,2,57,197,57
150,430,50,2,57,197,57
150,500,50,2,57,197,57
1080,150,50,2,57,197,57
1080,220,50,2,57,197,57
1080,325,50,2,57,197,57
1080,430,50,2,57,197,57
1080,500,50,2,57,197,57
615,89,50,1,57,197,57
#
1280,0,1,720,90,17, right 
0,0,1,720,270,16, left
0,0,720,1,0,19, up
0,720,720,1,180,15, down
#
0,0
#
0,0,0,0
#
