229,205,167, roomclr
252,160,68, playerclr
#
577,0,125,720,0,223,194,147, path down
577,660,125,720,0,223,194,147, path down small
0,0,1280,60,7,236,140,88, top
1220,0,60,720,1,236,140,88, far right
0,0,60,720,1,236,140,88, far left
#
150,10,50,1,57,197,57
150,80,50,3,57,197,57
150,150,50,0,57,197,57
150,220,50,1,57,197,57
150,290,50,3,57,197,57
150,360,50,3,57,197,57
150,430,50,1,57,197,57
150,500,50,3,57,197,57
150,570,50,3,57,197,57
150,640,50,1,57,197,57
1080,10,50,1,57,197,57
1080,80,50,5,57,197,57
1080,150,50,0,57,197,57
1080,220,50,1,57,197,57
1080,290,50,5,57,197,57
1080,360,50,5,57,197,57
1080,430,50,1,57,197,57
1080,500,50,5,57,197,57
1080,570,50,5,57,197,57
1080,640,50,1,57,197,57
#
1280,0,1,720,90,17, right 
0,0,1,720,270,16, left
0,0,720,1,0,22, up
0,720,720,1,180,18, down
#
0,0
#
640,300,5,7
#
